anonymised_clientnum,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag_Binary
3f8dff8a9bb8dcd6248e75289f9fe2241f7fdf029c1846ec42af40a5f8bac165,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515.0,33001.0,0.592,1293.0,32,0.6,0.044,0
6f89328de0ca8374543b3b8d9df6b2f31e3ef7c5c44c349860a9c5b51b01b58e,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817.0,4767.0,0.62,1353.0,35,0.667,0.276,0
cd4b322fc70c56f3678c5548b5b07ddf9f362ffc3f6b01a68fc893dd8b5cd54b,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468.0,616.0,1.004,1132.0,28,0.556,0.704,0
d83ce0cddb8b059985b1da3707c4ddae226b351588dcaeacce69264d249701b0,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107.0,580.0,1.715,1670.0,17,2.4,0.656,0
b2fe990b571e603dda14670988e6f57ad897cf0d41e904ae86da96f5a22f642f,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330.0,23970.0,1.072,837.0,15,2.0,0.053,0
a1d21163c7d84931f33cc797e2a0ad45b6b5881a80abeffe117ad27bb26026fa,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763.0,32753.0,1.266,1550.0,41,1.05,0.051,0
4beb0ad9ebdb44d0871ca532d49a94b39c2a5adb3fe5f2012fc17ac200992097,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034.0,1182.0,0.758,1540.0,36,0.286,0.467,0
efea2369c281722e540016c571b525287e45d97adceb1d24845dd786376be0b1,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030.0,880.0,0.769,1256.0,21,0.4,0.698,0
021f4dcee19d042f9e55664bc4bdb17375eeeba230212637c2113bb852c004c2,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528.0,21385.0,0.414,1394.0,35,0.522,0.067,0
35f29f47987143fc9ded15622b72a86d7e13988050af81ae1628a764ee7ecc3f,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932.0,22380.0,1.312,1341.0,24,1.182,0.079,0
45c6db9e6476585b0518134c0d243525ef3eb965c2d8c1c9f81c125ee2781da5,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515.0,3757.0,0.857,1289.0,33,0.435,0.287,0
a9935d5a7d26771519a491fa92f3ef1675ba2cb3ff9c03d996295aafb1ce3374,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517.0,4483.0,0.475,1112.0,23,1.875,0.36,0
5f7e92954c7bd09c2b60f4b47535a4c62e9c1d1729187c5d85346a3f494d4545,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801.0,5237.0,0.751,2339.0,57,0.966,0.256,0
282a0b641bc2f5e8a5f9c57b51ffd1706153e22b8af2c044590d6ac1ea1d3eb6,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823.0,713.0,0.703,1468.0,23,0.353,0.719,0
95cce14e642f01c19f7172c1a1fa6bd48f0a0addc750dcd15122e566cb633d14,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899.0,27005.0,0.85,1334.0,35,0.4,0.066,0
ef0aef2bba0a6870f065738477c9633382c09160086f656e2fc6c17dbefbbd95,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695.0,6872.0,1.242,1457.0,41,1.412,0.198,0
04f7c7ca41309ef3d0504d19e9b4a28b36e1759ed8f013fd0ba681227205605a,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533.0,32983.0,0.924,1603.0,29,0.526,0.044,0
402a04fb95d4c1278b86e4a6d72a5b07a69d5af256f23a304cf55cd14715a853,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0.0,2158.0,0.585,615.0,12,0.714,0.0,1
7968d3ee8f05ef07e4378e7e82173e2afe303ad1f2c6e41d48e8e93f64862278,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417.0,8716.0,0.383,1068.0,20,0.818,0.14,0
f38e1a414b45643685c62b308b2cd047eae1153181e6d534ad3f5feedc6622e6,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219.0,33297.0,1.129,1590.0,27,2.0,0.035,0
69b27bae420e076b088a3009d03e30ea8067936ecfa39ec726fa585f2db6a5c5,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910.0,1175.0,0.921,1531.0,35,0.667,0.619,0
2bbb6d7c8b95e45ad45614093c13fc85397d39943e290f65ab6456322f6c71e8,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056.0,16984.0,0.607,1212.0,31,0.722,0.108,0
b193661cd7c8692facf5f0b1c51c5a2c6ba13b5482d313117af1f008aede3004,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0.0,4026.0,0.483,1237.0,32,0.6,0.0,0
b27015c6e1194c7fa16730586957a872cd62ed424cb7e7da84bfdcba3ee9e02b,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837.0,11919.0,1.932,1413.0,14,1.8,0.066,0
f1d816fa0638f3167d29504313a76ae6233c2ec39ee67c8b52cca0f54ed2fb1d,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0.0,5266.0,1.702,1516.0,29,1.636,0.0,0
34d51a659c65e38b0ae404f24b4b56b23af3e7fd75124393f0d3cd86071b7e3c,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0.0,9930.0,0.731,1276.0,21,1.333,0.0,0
87e940bea2af31a17102f7b0d6c88a6921f4f3edf812a6bffe04ca9135568bf4,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953.0,29349.0,0.875,1564.0,35,2.182,0.062,0
64e313b0021c651ae08a0f3a1df9275eba815b297c4239b2d91f9072482b9343,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0.0,6576.0,0.579,1465.0,34,0.619,0.0,0
3d2228c4356b42e2d8e86ae81128de77b1351920d8ae566f0d8c1ab271753efc,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037.0,627.0,0.85,1286.0,29,0.933,0.765,0
fc6ea82ea74b6d7b83f52b9889fe931fd695d6745e00095af30cb5c53acacc4f,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440.0,95.0,1.705,1312.0,20,1.222,0.963,0
b6831400105b3b73bfc5c6ac7c9e77b9bb3a8e2e1513ef1cbcfd8d96d43e4a6d,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895.0,814.0,1.656,1673.0,32,0.882,0.524,0
cfd21c5bb3c404b375c91cb9282aee42dd91c1cd22db6744c6fa1f7c9d7627da,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200.0,2254.0,0.597,1313.0,30,0.304,0.347,0
648d80d8b3c31f9e111444cc14d496279f71fb662bf63354b40a98e2cee8acda,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706.0,2083.0,1.047,1609.0,42,0.68,0.45,0
036d5ccaca7568cc36b1f57327ba0461adb360ac8e6d37e6594b8e6ad613237d,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250.0,7439.0,0.576,1158.0,19,0.727,0.232,0
85cf123536031b4f77abdd65ebc1584e5a1b03e43719eda5f94618c68e31be67,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628.0,3821.0,0.696,836.0,18,0.385,0.299,1
8fce5217549a9340879bea290a527ac869034cad59d8adcba028533111916c7d,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960.0,21072.0,0.619,1289.0,22,1.0,0.085,0
2f6359c2016498a0a8b517ea845254958edcba808f0f8069f9eaf3a227d5385e,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053.0,32463.0,1.034,1487.0,26,0.733,0.059,0
eeb1f30e998330a02f015b97fa0c34f10b503a0c2b4fca6796d65961cbace769,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264.0,1676.0,0.562,1259.0,33,0.5,0.43,0
5e2f889dd7ac6228550c74bd456d4b94162e5aee6e4cbe8479fef2fb6a1d5f8b,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879.0,1152.0,0.788,1298.0,15,1.5,0.62,0
eaaede9f3ec4787212bb9a03aa425dbd99acc8d0d865a0b9c834aeb5375dc5d0,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0.0,1862.0,0.883,1226.0,34,0.789,0.0,0
796a46173f98faae3ec20a7a08e07cee6954b5700670f679f7694365d3632acb,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926.0,7432.0,0.762,1566.0,37,0.542,0.111,0
dcf0427f594ffb5f8b3541ae8d1ec4f1d98fb15cb8b2b1cdc953058fbc1ec1d1,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931.0,33585.0,0.828,1022.0,21,1.1,0.027,0
24bb0e9370b2a7ece745092ff8b55bcfe8f7eb75c64f47130089cf73f1accd3a,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440.0,12010.0,1.283,1235.0,30,0.667,0.169,0
0bcbebbdad548f4cd59339eac4e38ff315028b6cdc5152f507a3ca735bea36f7,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0.0,1438.3,0.813,1951.0,44,1.095,0.0,0
674f7927211c089e0218ada14042f8ffd0b87c95ff076e6d02a65856cfe90918,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960.0,31831.0,0.618,1047.0,31,0.824,0.058,0
4ea6bb5cd32e4899b0c0d517876b13a83f76e19ccb7a09ebb281011da7a756f4,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886.0,6580.0,0.56,1342.0,32,0.391,0.223,0
b92254f64ca0a86a9de812d37ba98681a4f5a1a9f716d1e0ce97197e41e89241,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865.0,14223.0,0.939,1107.0,21,1.625,0.057,0
dc3397e22dcb1f81aed24a6d495974e588c12fbb8fc87b1d458ee73380f86bbd,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674.0,1589.0,0.588,1251.0,35,0.346,0.513,0
